"","Tick_2000-11-21_To_2018-02-09","Membership_2000-11-21_To_2018-02-09"
"1","CBK.DE",1
"2","DBK.DE",1
"3","AXAA.SG",1
"4","US8A.SG",1
"5","DAS.BE",1
"6","ZO1.BE",1
"7","RQQ1.SG",1
"8","ZO1.SG",1
"9","EJD.BE",1
"10","CGOB.BE",1
"11","MILA.BE",1
"12","HOZ.DU",1
"13","ASG.BE",1
"14","JPR1.MU",1
"15","DPU.SG",1
"16","FMV.HM",1
"17","LLD.BE",1
"18","CTE.MU",1
"19","EJD.MU",1
"20","AE9.SG",1
"21","PRZ.MU",1
"22","AR2.SG",1
"23","INW1.DE",1
"24","EOAN.DE",2
"25","MUV2.DE",2
"26","LIN.DE",2
"27","YAAA.BE",2
"28","CJ6.SG",2
"29","CHV.DE",2
"30","PAE.HM",2
"31","CA3.DU",2
"32","BPI.MU",2
"33","MEZ.BE",2
"34","TR1.MU",2
"35","LDZA.SG",2
"36","EDGA.MU",2
"37","SNM.DU",2
"38","VR9.DU",2
"39","RIB.BE",2
"40","A7A.SG",2
"41","SKAA.BE",2
"42","IPJ1.BE",2
"43","OLL.BE",2
"44","BOX.BE",2
"45","CAT1.DU",2
"46","KBH.DU",2
"47","RIB.MU",2
"48","CY2.HA",2
"49","NCB.BE",2
"50","PBN.SG",2
"51","EFGD.BE",2
"52","CRA1.DU",2
"53","REP.HA",2
"54","HQS.MU",2
"55","ALD.MU",2
"56","DY6.DU",2
"57","HAM.SG",2
"58","BDSB.MU",2
"59","G1A.HM",2
"60","UEV.BE",2
"61","2RR.BE",2
"62","NMM.MU",2
"63","1K3.BE",2
"64","NT1.BE",2
"65","DYBP.MU",2
"66","NESR.DU",2
"67","TBK.SG",2
"68","BVXB.MU",2
"69","HAM1.MU",2
"70","24W2.DU",2
"71","TQW.DU",2
"72","6FJ.SG",2
"73","PGS1.SG",2
"74","SB7.BE",2
"75","E4S.DU",2
"76","SOBA.HA",2
"77","DNQ.BE",2
"78","BF5B.BE",2
"79","TUR.MU",2
"80","HGL3.HM",2
"81","TW11.BE",2
"82","PD2.SG",2
"83","HRT.BE",2
"84","DPW.DE",3
"85","0OC.SG",3
"86","MTA.MU",3
"87","PND.SG",3
"88","ILK2.SG",3
"89","NB1N.MU",3
"90","SK2.DU",3
"91","CMID.BE",3
"92","AUB.MU",3
"93","UAL1.MU",3
"94","UHRN.DE",3
"95","ELG.MU",3
"96","KT1.BE",3
"97","C8U.MU",3
"98","WHE.SG",3
"99","AR7B.SG",3
"100","MMO.DU",3
"101","3VA1.BE",3
"102","SYM.DU",3
"103","BIJ.DU",3
"104","EVN.DU",3
"105","PPX.BE",3
"106","T6W.BE",3
"107","CTNK.SG",3
"108","KA8.MU",3
"109","LPK.HM",3
"110","O5H.DE",3
"111","PP1.SG",3
"112","YX3.SG",3
"113","P4I.MU",3
"114","JMI.MU",3
"115","YOC.MU",3
"116","HHX.SG",3
"117","BUY.DU",3
"118","E6Q.SG",3
"119","BB6.SG",3
"120","N9M.MU",3
"121","XEUA.MU",3
"122","YX3.BE",3
"123","LIQ.MU",3
"124","M3L.SG",3
"125","ADA.BE",3
"126","HZH.BE",3
"127","M4N.DU",3
"128","C8Q.MU",3
"129","TY2.SG",3
"130","IL3.SG",3
"131","NUB.MU",3
"132","JBL.SG",3
"133","DLX.DU",3
"134","TTO.DU",3
"135","3TK.BE",3
"136","AGV.MU",3
"137","MTR.MU",3
"138","DOQ.SG",3
"139","T9Z.BE",3
"140","US5.BE",3
"141","CLP.MU",3
"142","RHI.BE",3
"143","OCW.BE",3
"144","PLT.DU",3
"145","DPWA.DE",3
"146","FSL.MU",3
"147","ZM7.MU",3
"148","SWA.BE",3
"149","DFJ.MU",3
"150","T23.BE",3
"151","GSC1.HA",3
"152","DR8A.BE",4
"153","SCF.DU",4
"154","1I1.BE",4
"155","AJ3.MU",4
"156","PEU.SG",4
"157","WRW.SG",4
"158","RBS.BE",4
"159","FB2A.HA",4
"160","A1OS.SG",4
"161","NUS.SG",4
"162","8AP.SG",4
"163","ABS2.SG",4
"164","N7G.BE",4
"165","RMC.SG",4
"166","XOA1.DU",4
"167","CO0.DU",4
"168","F9E.SG",4
"169","ARL.DE",4
"170","HLW.MU",4
"171","MV9.SG",4
"172","BM1.BE",4
"173","FME.DE",5
"174","MRK.DE",5
"175","VSP.BE",5
"176","FAD1.SG",5
"177","OA4.BE",5
"178","FME.HA",5
"179","BJEB.DU",5
"180","ARN.DU",5
"181","4GJ.MU",5
"182","PWD1.BE",5
"183","BBP2.BE",5
"184","MLL.SG",5
"185","MSF.MU",5
"186","ISH2.MU",5
"187","HRS.BE",5
"188","KYR.BE",5
"189","BLON.DE",5
"190","LOR.BE",5
"191","PKA.MU",5
"192","JLT.BE",5
"193","FMEA.SG",5
"194","C7O.BE",5
"195","HHP1.SG",5
"196","CFI.SG",5
"197","RU6.BE",5
"198","NWX.DU",5
"199","HP3.BE",5
"200","ST5.HM",5
"201","HAR.MU",5
"202","W1I.DU",5
"203","NVAB.SG",5
"204","PM7A.MU",5
"205","MRK.HM",5
"206","HAA1.MU",5
"207","FE7.MU",5
"208","SHX.SG",5
"209","IUR.SG",5
"210","VYO.BE",5
"211","DUR.SG",5
"212","GEY.HM",5
"213","CTY.BE",5
"214","AKU.BE",5
"215","SQS.BE",5
"216","7NM.BE",5
"217","A8A.DE",5
"218","NYVP.BE",5
"219","UZU.SG",5
"220","BRM.SG",5
"221","IC2.SG",5
"222","ICBA.BE",5
"223","KEM.BE",5
"224","IO5A.DU",5
"225","NVAY.BE",5
"226","3BG.MU",5
"227","CE1.BE",5
"228","TKA.DE",6
"229","RWE.DE",6
"230","LHA.DE",6
"231","VOW3.DE",6
"232","TS3.BE",6
"233","NTR.SG",6
"234","PID.BE",6
"235","GOV.MU",6
"236","DPM.BE",6
"237","DLG.HA",6
"238","FDX.DU",6
"239","KSB.SG",6
"240","XAR.BE",6
"241","32B.BE",6
"242","3EV.SG",6
"243","ATW.HA",6
"244","GIB.SG",6
"245","AZ2.SG",6
"246","CUEH.SG",6
"247","MVV1.MU",6
"248","AOF.HM",6
"249","UUD.MU",6
"250","SRT.HM",6
"251","NBG6.DE",6
"252","WWR.MU",6
"253","RLV.DU",6
"254","CHL.MU",6
"255","PAH3.HM",6
"256","CUP.DU",6
"257","S6O.BE",6
"258","B2B.BE",6
"259","SRT.DU",6
"260","M3C.MU",6
"261","JSL.SG",6
"262","HHFA.MU",6
"263","CP2.BE",6
"264","WMC.BE",6
"265","MF6.BE",6
"266","BSR.SG",6
"267","BLZ.BE",6
"268","OMV.SG",6
"269","EMGA.BE",6
"270","9BM.BE",6
"271","UNC.BE",6
"272","IX1.SG",6
"273","BABB.MU",6
"274","ERCA.HM",6
"275","B1Z.SG",6
"276","MZ8.BE",6
"277","F5U.SG",6
"278","CMAB.DU",6
"279","PUG.BE",6
"280","HI7.BE",6
"281","IOC.SG",6
"282","KBIA.MU",6
"283","AF5.SG",6
"284","SCT.MU",6
"285","APM.MU",6
"286","AGX.HM",7
"287","NNND.BE",7
"288","HVP.SG",7
"289","HU7.BE",7
"290","CNO.MU",7
"291","XCI.DU",7
"292","SHK.SG",7
"293","ADS.DE",8
"294","DTE.DE",8
"295","SAP.DE",8
"296","IFX.DE",8
"297","FRE.DE",8
"298","VNA.DE",8
"299","HEN3.DE",8
"300","BEI.DE",8
"301","EB2.BE",8
"302","SNW.SG",8
"303","NEM.MU",8
"304","DEQ.HM",8
"305","SWN.MU",8
"306","AWM.BE",8
"307","CTP2.HM",8
"308","INL.SG",8
"309","IBM.SG",8
"310","NBFB.SG",8
"311","WI4.BE",8
"312","AIL.HM",8
"313","COP.DU",8
"314","XS4.BE",8
"315","DOD.SG",8
"316","NTZ.BE",8
"317","KAO.SG",8
"318","4BW.BE",8
"319","75C.SG",8
"320","ANL.DU",8
"321","R6C3.MU",8
"322","EW1.DU",8
"323","AIL.MU",8
"324","E4U.SG",8
"325","MSN.DU",8
"326","DC6.DU",8
"327","NEM.BE",8
"328","KIK.MU",8
"329","FREA.SG",8
"330","IFXA.BE",8
"331","OFP.BE",8
"332","NTP.BE",8
"333","DTEA.BE",8
"334","7A2.SG",8
"335","CHL.SG",8
"336","PIT.BE",9
"337","NAPN.SG",9
"338","DAIC.SG",9
"339","NR4.MU",9
"340","OXGP.SG",9
"341","BEZ.SG",9
"342","ZPFK.MU",9
"343","WL6.MU",9
"344","NVPB.MU",9
"345","LCM.BE",9
"346","KEQ.BE",9
"347","TZ8.BE",9
"348","4CU.SG",9
"349","VWS.SG",9
"350","CON.DE",10
"351","BAS.DE",10
"352","ALV.DE",10
"353","BAYN.DE",10
"354","DAI.DE",10
"355","HEI.DE",10
"356","BMW.DE",10
"357","SIE.DE",10
"358","DB1.DE",10
"359","^GDAXI",10
"360","AA9.DU",10
"361","A4W.SG",10
"362","DSN.DU",10
"363","TTU.MU",10
"364","PAH3.HA",10
"365","DIO.SG",10
"366","B3Y1.BE",10
"367","KPO.DU",10
"368","REW.SG",10
"369","SIE.HM",10
"370","AXA.DU",10
"371","SDF.BE",10
"372","01T.DU",10
"373","TUP.BE",10
"374","KPN.HM",10
"375","SGE.HM",10
"376","QAN.SG",10
"377","TO91.BE",10
"378","SGE.SG",10
"379","DEVL.MU",10
"380","BNR.DE",10
"381","S7MB.DU",10
"382","GMM.HM",10
"383","VNX.MU",10
"384","MSPA.SG",10
"385","ADI1.BE",10
"386","4AJ.SG",10
"387","TPO.BE",10
"388","KAJ.BE",10
"389","3LN.BE",10
"390","ZYA.SG",10
"391","HMSB.SG",10
"392","PORTFO",10
"393","ESHB.MU",11
"394","TTR1.DU",11
"395","CTO.DU",11
"396","ADV.HM",11
"397","BDT.MU",11
"398","DR0.SG",11
"399","WOO.BE",11
"400","WOO.MU",11
"401","XM8.SG",11
"402","AY7A.BE",11
"403","DRW8.DU",11
"404","CR8.MU",12
"405","ME7.BE",12
"406","M9E.BE",12
"407","VEE.BE",12
"408","IIN.MU",12
"409","OBK.SG",12
"410","CR8.SG",12
"411","OHB.HM",13
"412","FIE.BE",13
"413","OHB.MU",13
"414","4EM.BE",14
"415","THAF.MU",14
"416","JASN.BE",14
"417","EL8.BE",14
"418","MOR.DU",14
